date,device_id,open_count,report_time,device_model,android_version,manufacturer,sdk_version,ip_address,country,country_code,region,city,latitude,longitude,timezone,isp
"2025-04-13","06060a38b401e661",3,"2025-04-13 21:50:13","22127RK46C","15","Xiaomi",35,"null","null","null","null","null",null,null,"null","null"
"2025-04-14","3b2c7bde652b6038",1,"2025-04-14 00:13:31","M2002J9E","11","Xiaomi",30,"111.25.4.6","China","CN","Jilin","Changchun",43.88,125.3247,"Asia/Shanghai","China Mobile Group JiLin communications corporation"
"2025-04-14","1e139f26a9114a0f",1,"2025-04-14 00:16:16","2304FPN6DC","15","Xiaomi",35,"null","null","null","null","null",null,null,"null","null"
"2025-04-14","81632d4990e19f79",1,"2025-04-14 01:13:10","RMX3888","15","realme",35,"null","null","null","null","null",null,null,"null","null"
"2025-04-13","a7acf0af8e2f44b8",3,"2025-04-13 19:23:04","M2007J3SG","15","Xiaomi",35,"90.116.57.200","France","FR","Alpes-Maritimes","Nice",43.7045,7.2597,"Europe/Paris","Orange"
"2025-04-14","bbc5836195993428",1,"2025-04-14 02:27:42","PJD110","15","OnePlus",35,"89.185.27.170","Hong Kong","HK","","Hong Kong",22.2842,114.1759,"Asia/Hong_Kong","Hytron Network Services Limited"
"2025-04-13","1f66be5aab96b161",3,"2025-04-13 20:40:01","22111317G","14","Xiaomi",34,"31.15.181.96","Slovenia","SI","Hajdina","Spodnja Hajdina",46.4095,15.8449,"Europe/Ljubljana","Telemach UG d.o.o."
"2025-04-14","d756375c547a53b1",3,"2025-04-14 02:48:55","Redmi K30 Pro Zoom Edition","14","Xiaomi",34,"null","null","null","null","null",null,null,"null","null"
"2025-04-14","85f072daf1e3e579",1,"2025-04-14 03:13:51","21051182C","13","Xiaomi",33,"171.106.108.153","China","CN","","",34.7732,113.722,"Asia/Shanghai","Chinanet"
"2025-04-14","24f18c96d960fba6",2,"2025-04-14 04:03:41","PJA110","13","OnePlus",33,"129.150.42.215","Singapore","SG","","Kampong Loyang",1.3759,103.9639,"Asia/Singapore","ORACLE-BMC-31898"
"2025-04-14","5459cfd130507c08",1,"2025-04-14 04:10:20","M2101K6G","15","Xiaomi",35,"49.217.120.12","Taiwan","TW","Taichung City","Taichung",24.144,120.6844,"Asia/Taipei","Taiwan Mobile Co., Ltd."
"2025-04-13","d15e9912ab4338e6",1,"2025-04-13 15:23:34","21061110AG","13","Xiaomi",33,"179.60.137.164","Ecuador","EC","Guayas","Guayaquil",-2.1978,-79.8764,"America/Guayaquil","Universidad de Guayaquil"
"2025-04-13","b3904204b82c8fe4",2,"2025-04-13 23:38:45","ASUS_I01WD","13","samsung",33,"185.208.101.157","Türkiye","TR","Kilis","Kilis",36.7143,37.1123,"Europe/Istanbul","Guneydogu Telekom int.bil. ve ilt. hiz. tic. ltd. sti."
"2025-04-14","1f703d7984b774bb",1,"2025-04-14 00:00:33","23049PCD8G","15","Xiaomi",35,"82.131.24.27","Estonia","EE","Jogeva vald","Jõgeva",58.7473,26.3866,"Europe/Tallinn","Elisa Eesti AS"
"2025-04-14","f408942fcf786867",5,"2025-04-14 00:07:58","23049PCD8G","15","Xiaomi",35,"82.131.24.27","Estonia","EE","Jogeva vald","Jõgeva",58.7473,26.3866,"Europe/Tallinn","Elisa Eesti AS"
"٢٠٢٥-٠٤-١٤","3618cfb92c5ef7a6",2,"٢٠٢٥-٠٤-١٤ ٠٠:٠٩:٥٩","SM-A155F","14","samsung",34,"null","null","null","null","null",null,null,"null","null"
"٢٠٢٥-٠٤-١٤","53854893937ee474",2,"٢٠٢٥-٠٤-١٤ ٠٠:١٦:٢٨","SM-A305F","10","samsung",29,"null","null","null","null","null",null,null,"null","null"
"2025-04-14","446ac5e65e0e9905",25,"2025-04-14 05:36:16","22011211C","13","Xiaomi",33,"39.144.220.119","China","CN","Chongqing","Chongqing",29.5689,106.5577,"Asia/Shanghai","China Mobile Communications Group Co., Ltd."
"2025-04-14","9393b0374320bdb5",1,"2025-04-14 05:47:05","PEQM00","13","OPPO",33,"218.103.130.208","Hong Kong","HK","","",22.2908,114.1501,"Asia/Hong_Kong","HKT Limited"
"2025-04-14","5f09408f4da96b03",2,"2025-04-14 00:56:30","25010PN30G","15","Xiaomi",35,"94.25.171.44","Russia","RU","Moscow","Moscow",55.7483,37.6171,"Europe/Moscow","PJSC MegaFon"
