userid,deviceid,date
1102796325,24f18c96d960fba6,2025-06-30
1740749231,24f18c96d960fba6,2025-06-30
1347243133,232969426eb0f99f,2025-04-22
1522111304,674feb460165f4a6,2025-04-23
1385400222,61ec789774307afb,2025-04-23
697031169,f0484d74d4ced66a,2025-04-23
1041366945,6bb755271de0cfb4,2025-04-24
1209062064,0701e331b10c0bc5,2025-04-24
1387153089,ce929cda0518469d,2025-04-24
1756403187,a20878f969205da0,2025-04-24
1146575645,665514755ba2147f,2025-04-25
1760908646,f8836ce13643c62e,2025-04-26
1750863289,9c62f427bb9073cf,2025-04-26
1211796950,2352e19e23a1286d,2025-04-26
1601590370,fcfbf09611d61a1a,2025-04-26
1570821543,9f49a7187c7489e5,2025-04-26
1545198659,6bb2023428ea9b39,2025-04-26
1743672730,6331bdad3c96875f,2025-04-26
1743063574,fbba703db29fc97a,2025-04-26

1102796325,24f18c96d960fba6,2025-06-30
1766309335,db8bcb5773486239,2025-04-26
