date,device_id,open_count,report_time,device_model,android_version,manufacturer,sdk_version,version,language,lcountry,ip_address,ip_type,country_name,country_code,region_name,region_code,city,latitude,longitude,timezone_id,current_time,isp
"2025-04-17","e48db3850e7be0c6",1,"2025-04-17 01:12:34","XQ-DQ72","14","Sony",34,"1.7.4.4","","","49.73.238.249","ipv4","中国","CN","Jiangsu","JS","Pingwangzhen","30.974599838256836","120.6405029296875","","","Chinatelecom Jiangsu Province Suzhou 5g Network"
"2025-04-17","c8002779fc00f61d",9,"2025-04-17 03:11:05","23013RK75C","15","Xiaomi",35,"1.7.4.5","","","119.237.255.136","unknown","Hong Kong","HK","","","","22.2908","114.1501","Asia/Hong_Kong","","HKT Limited"
"2025-04-16","0d57de4dfb901e4a",6,"2025-04-16 23:16:19","2304FPN6DC","15","Xiaomi",35,"1.7.4.5","","","77.25.16.16","unknown","Germany","DE","Bavaria","BY","Nuremberg","49.4617","11.0731","Europe/Berlin","","Vodafone GmbH"
"2025-04-17","04fe6252142005c0",1,"2025-04-17 07:27:12","PKG110","15","OnePlus",35,"1.7.4.5","","","202.47.27.68","unknown","Japan","JP","","","","35.6897","139.6895","Asia/Tokyo","","NTT-LTD-2914"
"2025-04-17","bdc93e7e594a9b5e",2,"2025-04-17 07:51:41","PKR110","15","OnePlus",35,"1.7.4.5","","","125.33.211.27","ipv4","中国","CN","Beijing Shi","BJ","北京市","39.91175842285156","116.37922668457031","Asia/Shanghai","2025-04-17T07:51:03+08:00","China Unicom Beijing Province Network"
"2025-04-17","032e8164790ba102",1,"2025-04-17 07:51:40","22127RK46C","15","Xiaomi",35,"1.7.4.4","","","183.178.123.112","unknown","Hong Kong","HK","","","","22.2908","114.1501","Asia/Hong_Kong","","Hong Kong Broadband Network Ltd."
"2025-04-16","bbfb784396f862ca",12,"2025-04-16 20:07:37","M2007J20CG","13","Xiaomi",33,"1.7.4.4","","","152.206.228.129","unknown","Cuba","CU","Havana","03","Havana","23.1492","-82.395","America/Havana","","Empresa de Telecomunicaciones de Cuba, S.A."
"2025-04-17","da569882f046ec7b",1,"2025-04-17 08:17:27","23013RK75C","15","Xiaomi",35,"1.7.4.5","","","103.151.172.84","unknown","Hong Kong","HK","","","","22.2578","114.1657","Asia/Hong_Kong","","IKUUU NETWORK LTD"
"2025-04-17","47b7682d442886e6",1,"2025-04-17 08:47:55","RMX3357","13","realme",33,"1.7.4.5","","","223.104.194.105","ipv4","中国","CN","山东省","SD","青岛市","36.06700134277344","120.37999725341797","Asia/Shanghai","2025-04-17T08:47:57+08:00","Shandong Mobile Communication Company Limited"
"2025-04-17","36296a1797bfa578",4,"2025-04-17 10:18:13","2410DPN6CC","15","Xiaomi",35,"1.7.4.5","","","120.32.130.111","unknown","China","CN","Fujian","FJ","Fuzhou","26.0492","119.2906","Asia/Shanghai","","Chinanet"
"2025-04-17","75412f1eb1ab80fc",2,"2025-04-17 11:32:26","23077RABDC","15","Xiaomi",35,"1.7.4.5","","","183.202.197.31","ipv4","中国","CN","陕西省","SN","西安市","34.25532913208008","108.95320892333984","Asia/Shanghai","2025-04-17T11:32:28+08:00","China Mobile Communications Corporation"
"2025-04-17","f2e31d230b49d0e4",2,"2025-04-17 12:14:57","2210132C","15","Xiaomi",35,"1.7.4.5","","","122.195.38.183","ipv4","中国","CN","Jiangsu","JS","Xuejiazhen","31.858060836791992","119.91677856445312","Asia/Shanghai","2025-04-17T12:14:58+08:00","China Unicom china169 Backbone"
"2025-04-17","75a07d88c524630a",8,"2025-04-17 12:23:02","SM-G9860","13","samsung",33,"1.7.4.5","","","114.254.1.231","ipv4","中国","CN","Beijing Shi","BJ","Beijing","39.91175842285156","116.37922668457031","Asia/Shanghai","2025-04-17T11:57:02+08:00","China Unicom Beijing Province Network"
"2025-04-17","622b04610c0a6beb",1,"2025-04-17 13:15:54","2211133C","15","Xiaomi",35,"1.7.4.5","","","104.28.157.196","unknown","Hong Kong","HK","","","Hong Kong","22.2842","114.1759","Asia/Hong_Kong","","CLOUDFLARENET"
"2025-04-17","78d3797e951fa7d4",19,"2025-04-17 13:43:39","MEIZU 20 Pro","13","meizu",33,"1.7.4.5","","","14.31.16.118","ipv4","中国","CN","Guangdong","GD","Guangzhou","23.124719619750977","113.23860931396484","Asia/Shanghai","2025-04-17T13:16:41+08:00","Chinanet Guangdong Province Shenzhen Man Network"
"2025-04-16","08e416c5c61b8b51",5,"2025-04-16 22:52:50","Pixel 7 Pro","15","Google",35,"1.7.4.5","","","47.149.249.202","unknown","unknown","US","California","CA","Moreno Valley","33.9339","-117.1851","","","unknown"
"2025-04-17","9744174998fb14bd",4,"2025-04-17 14:00:54","RMX3800","15","realme",35,"1.7.4.5","","","180.138.213.51","ipv4","中国","CN","Guangxi","GX","Nanning","22.836669921875","108.3213882446289","Asia/Shanghai","2025-04-17T13:59:52+08:00","Chinanet"
"2025-04-17","290330c4c332461c",2,"2025-04-17 14:05:02","PJZ110","15","OnePlus",35,"1.7.4.4","","","114.246.237.217","ipv4","中国","CN","Beijing Shi","BJ","Beijing","39.91175842285156","116.37922668457031","Asia/Shanghai","2025-04-17T14:05:06+08:00","China Unicom Beijing Province Network"
"2025-04-17","3d99270ce90728ac",7,"2025-04-17 09:44:06","StjFE01cINSgEr","11","Samsung",33,"1.7.4.5","","","102.16.88.121","unknown","Madagascar","MG","","","Toamasina","-18.1462","49.3969","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","6c0e3b177fc9e7cd",4,"2025-04-17 14:51:54","PJX110","15","OnePlus",35,"1.7.4.5","","","182.247.62.133","ipv4","中国","CN","Yunnan","YN","Kaihuazhen","23.375","104.24199676513672","Asia/Shanghai","2025-04-17T14:46:20+08:00","Chinanet"
"2025-04-17","5a2979e1dcd84362",4,"2025-04-17 15:28:33","22021211RC","12","Xiaomi",31,"1.7.4.5","","","27.148.30.252","ipv4","中国","CN","Fujian","FJ","Fuzhou","26.062780380249023","119.29000091552734","Asia/Shanghai","2025-04-17T15:28:33+08:00","Chinanet"
"2025-04-17","07e53d4e2fb9a383",1,"2025-04-17 16:43:01","RMX3888","14","realme",34,"1.7.4.4","","","43.207.208.50","unknown","Japan","JP","Tokyo","13","Tokyo","35.6893","139.6899","Asia/Tokyo","","AMAZON-02"
"2025-04-17","8922bb7a65d38de0",13,"2025-04-17 11:58:28","Dg49Stx03","9","Xiaomi",33,"1.7.4.5","","","102.16.88.121","unknown","Madagascar","MG","","","Toamasina","-18.1462","49.3969","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","37248ada0f7c28c2",14,"2025-04-17 12:18:35","EvzZKP2O","7","ROG",33,"1.7.4.5","","","102.16.88.121","unknown","Madagascar","MG","","","Toamasina","-18.1462","49.3969","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","181f22f16b38f93f",1,"2025-04-17 17:32:02","M2102K1C","14","Xiaomi",34,"1.7.4.5","","","148.135.111.20","unknown","United States","US","California","CA","Los Angeles","34.0515","-118.2707","America/Los_Angeles","","MULTA-ASN1"
"2025-04-17","1e23052866edd8f9",8,"2025-04-17 17:52:29","2211133C","15","Xiaomi",35,"1.7.4.5","","","119.143.8.84","ipv4","中国","CN","Guangdong","GD","Guangzhou","23.124719619750977","113.23860931396484","Asia/Shanghai","2025-04-17T17:52:32+08:00","Chinanet"
"2025-04-17","b2e6e31378437b6e",15,"2025-04-17 12:53:49","rRZVlfT","13","OnePlus",33,"1.7.4.5","","","102.16.88.121","unknown","Madagascar","MG","","","Toamasina","-18.1462","49.3969","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","26f6a1d4e10b7698",16,"2025-04-17 13:54:31","7WJ6KHCFbiIOgy","9","ROG",33,"1.7.4.5","","","102.17.119.209","unknown","Madagascar","MG","","","Antananarivo","-18.913","47.5296","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","f2388fa9ec94028f",2,"2025-04-17 18:56:17","ASUS_AI2205_D","15","asus",35,"1.7.4.5","","","114.136.154.59","unknown","Taiwan","TW","Taipei City","TPE","Taipei","25.0504","121.5324","Asia/Taipei","","Mobile Business Group"
"2025-04-17","54065805c1d93402",8,"2025-04-17 19:15:05","2211133C","15","Xiaomi",35,"1.7.4.5","","","116.177.28.115","ipv4","中国","CN","Beijing Shi","BJ","Beijing","39.91175842285156","116.37922668457031","Asia/Shanghai","2025-04-17T18:21:28+08:00","China Unicom china169 Backbone"
"2025-04-17","e7e3bb65e1309025",18,"2025-04-17 14:38:57","qToWnXH","9","Xiaomi",33,"1.7.4.5","","","102.16.88.121","unknown","Madagascar","MG","","","Toamasina","-18.1462","49.3969","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","bed204202f5fd9d4",22,"2025-04-17 19:55:32","V2352A","15","vivo",35,"1.7.4.4","","","182.102.179.98","ipv4","中国","CN","Jiangxi","JX","Yantianzhen","27.35700035095215","114.38099670410156","","","Chinanet"
"2025-04-17","94e45d9e68f191c9",8,"2025-04-17 20:37:15","moto g200 5G","15","motorola",35,"1.7.4.5","","","113.120.132.87","ipv4","中国","CN","Shandong","SD","Jiaxiang Xian","35.40835189819336","116.34159851074219","Asia/Shanghai","2025-04-17T20:08:02+08:00","Chinanet"
"2025-04-17","34c6d6b33fea57c4",2,"2025-04-17 21:03:40","PJE110","15","OnePlus",35,"1.7.4.5","","","13.112.146.99","unknown","Japan","JP","Tokyo","13","Tokyo","35.6893","139.6899","Asia/Tokyo","","AMAZON-02"
"2025-04-17","711a49d996e54b61",19,"2025-04-17 16:23:53","7bkVYJxI0","%random%","ROG",33,"1.7.4.5","","","102.16.88.121","unknown","Madagascar","MG","","","Toamasina","-18.1462","49.3969","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-17","e6b3f5a02a148944",5,"2025-04-17 21:52:29","2112123AC","13","Xiaomi",33,"1.7.4.5","","","114.246.93.5","ipv4","中国","CN","Beijing Shi","BJ","Beijing","39.91175842285156","116.37922668457031","Asia/Shanghai","2025-04-17T21:52:30+08:00","China Unicom Beijing Province Network"
"2025-04-17","cc1e3f324b9ef1a7",8,"2025-04-17 22:03:48","23127PN0CC","15","Xiaomi",35,"1.7.4.5","","","183.216.130.115","ipv4","中国","CN","Jiangxi","JX","Nanchang","28.671499252319336","115.88899993896484","Asia/Shanghai","2025-04-17T22:03:49+08:00","China Mobile Communications Group Co. Ltd."
